Termo;Setor/Área;Explicação Simples;Setor Econômico
Painel de Monitoramento de Metas;Governo;Dashboard de BI com o status de projetos do plano de governo.;Terciário
Paletização;Logística;Acondicionamento de mercadorias sobre paletes para facilitar a movimentação.;Terciário
Paletização;Supply Chain;Acondicionamento de mercadorias sobre paletes para facilitar movimentação.;Terciário
Paraísos Fiscais;Macroeconomia;Jurisdições com tributação nula ou muito baixa para capital estrangeiro.;Terciário (Serviços/Administração)
Parcerias Público-Privadas (PPP);Governo;Contratos de longo prazo para prestação de serviços ou obras.;Terciário
Parecer do Tribunal de Contas;Governo;Auditoria externa sobre a regularidade das contas públicas.;Terciário
Pareto (Regra 80/20);Estatística/BI;Conceito de que 80% dos resultados vêm de 20% das causas.;Terciário
Pareto de Vendas (80/20);Vendas;Análise que identifica que 20% dos clientes geralmente geram 80% da receita.;Terciário
Parking Ratio;Imobiliário;Relação de vagas de garagem por m² ou por unidade habitacional.;Terciário
Parts Turnover;Automobilístico;Giro de estoque específico para o departamento de peças de reposição.;Secundário
Pasto Degradado (%);Pecuária;Área com baixa capacidade produtiva necessitando de reforma.;Primário
Patch Management;Tecnologia;Processo de atualização de software para correção de vulnerabilidades.;Terciário
Patient Journey (Jornada do Paciente);Saúde;Mapeamento de todos os pontos de contato do paciente com a instituição.;Terciário
Patient Safety Indicators (PSI);Saúde;Conjunto de indicadores que medem complicações e eventos adversos evitáveis.;Terciário
Pátio de Triagem;Logística;Área de espera para veículos antes da autorização para doca.;Terciário
Patrimônio de Afetação;Imobiliário;Segregação patrimonial que garante que os recursos de uma obra fiquem nela.;Terciário
Patrulhamento Georreferenciado;Segurança Pública;Roteirização de viaturas baseada em pontos críticos de crime.;Terciário
Payable Days;Financeiro;"O mesmo que DPO; prazo de pagamento a fornecedores.";Terciário
Payback;Financeiro;Tempo necessário para recuperar o investimento inicial.;Terciário
Payback;Comercial e Vendas;Tempo necessário para que o lucro de um cliente pague o seu CAC.;Terciário
Payback;Mercado Financeiro;Tempo necessário para que o investimento inicial seja recuperado.;Terciário
Payback de Poço;Petróleo;Tempo necessário para que o óleo produzido pague o custo da perfuração.;Primário (Extração) / Secundário (Refino)
Payback Period;Varejo;Tempo necessário para recuperar o investimento feito em uma nova loja ou projeto.;Terciário
Payback Period;Financeiro;Tempo necessário para que o investimento inicial seja recuperado.;Terciário
Payback Period;Vendas;Tempo necessário para recuperar o investimento feito na aquisição de um cliente.;Terciário
Payback Period;Startups;Número de meses necessários para recuperar o CAC através da margem do cliente.;Terciário (Majoritariamente)
Payer Mix;Saúde;Distribuição percentual dos pagadores (Planos A, B, C, Particular, SUS).;Terciário
Payment Gateway Latency;Bancário/Fintech;Tempo de resposta técnica para aprovar uma transação online.;Terciário
Payout;Mercado Financeiro;Percentual do lucro líquido distribuído aos acionistas sob a forma de dividendos.;Terciário
Payout;Bolsa de Valores;Percentual do lucro líquido que é distribuído aos acionistas.;Terciário
Payout Ratio;Financeiro;Percentual do lucro líquido que é distribuído aos acionistas.;Terciário
Payroll-to-Revenue Ratio;Recursos Humanos;Percentual da receita comprometido com a folha de pagamento.;Terciário
PCLD (Provisão para Crédito de Liquidação Duvidosa);Bancário/Fintech;Reserva financeira para cobrir possíveis calotes na carteira de crédito.;Terciário
PDI (Plano de Desenvolvimento Individual);Recursos Humanos;Acompanhamento de metas de carreira monitoradas via dashboard.;Terciário
PDV (Ponto de Venda);Varejo;O local físico ou digital onde ocorre a transação comercial.;Terciário
PDV (Ponto de Venda);Vendas;Local físico onde ocorre a transação comercial.;Terciário
Peak Load;Tecnologia;Nível máximo de utilização de um sistema num intervalo específico.;Terciário
Pedido Médio (Units per Transaction);Comercial e Vendas;Quantidade média de unidades vendidas por pedido.;Terciário
Peer-to-Peer (P2P) Lending;Bancário/Fintech;Empréstimos realizados diretamente entre pessoas via plataforma.;Terciário
Penetração de Mercado;Comercial;Percentual de clientes potenciais que compram da empresa.;Terciário
Penetração de Mercado;Comercial e Vendas;Medida de quanto um produto é vendido em relação à base total de clientes potenciais.;Terciário
Penetração de Mercado;Vendas;Relação entre o volume vendido e o potencial total de consumo do mercado.;Terciário
Penetração de Mercado;Comercial;Medida de quanto um produto está sendo usado em relação ao mercado.;Terciário
Penetração de Seguros;Seguros;Relação entre o prêmio total emitido e o PIB da região.;Terciário
Penetration Testing (Pen Test);Tecnologia;Testes de segurança simulando ataques para identificar brechas.;Terciário
People Analytics;Recursos Humanos;Uso de métodos estatísticos e de dados para gerir pessoas.;Terciário
Per Capita Cost;Saúde;Custo médio de saúde por indivíduo em uma população gerenciada.;Terciário
Percentual de Investimento em Educação (MDE);Governo;Mínimo constitucional aplicado em manutenção e desenvolvimento do ensino.;Terciário
Percentual de Investimento em Saúde (ASPS);Governo;Aplicação mínima obrigatória em ações e serviços públicos de saúde.;Terciário
Perda de Evaporação;Petróleo;Volume de produto perdido durante o armazenamento ou transporte.;Primário (Extração) / Secundário (Refino)
Perda de Romaneio;Pecuária;Diferença entre o peso na fazenda e o peso pesado no frigorífico.;Primário
Perda na Colheita (Sacas/ha);Agricultura;Volume de grãos que fica no solo devido à má regulagem da colheitadeira.;Primário
Perda Total (PT);Seguros;Sinistros onde o custo de reparo excede um percentual (geralmente 75%) do valor do bem.;Terciário
Perfil Criminal (Profiling);Segurança Pública;Agrupamento de características para identificar criminosos em série.;Terciário
Perfil de Risco (Rating);Seguros;Classificação do segurado com base em variáveis (idade, CEP, histórico).;Terciário
Performance por SKU;Vendas;Análise de vendas individualizada por unidade de manutenção de estoque.;Terciário
Permanência em UTI;Saúde;Métrica específica para leitos críticos, onde o custo é significativamente maior.;Terciário
Permeabilidade da Rocha;Petróleo;Capacidade do reservatório de permitir o fluxo de fluidos (dado geoestatístico).;Primário (Extração) / Secundário (Refino)
Permission Marketing;Marketing;Marketing voltado apenas para quem deu consentimento prévio.;Terciário
Permuta Financeira;Imobiliário;Pagamento do terreno através de um percentual da receita das vendas.;Terciário
Permuta Física;Imobiliário;Negociação onde o terreno é pago com unidades do futuro empreendimento.;Terciário
Persona;Marketing;Perfil semifictício do cliente ideal baseado em dados reais.;Terciário
Peso ao Desmame;Pecuária;"Massa corporal do bezerro ao ser separado da mãe; reflete a habilidade materna.";Primário
Peso Vivo Médio (PVM);Pecuária;Média aritmética da massa de todos os indivíduos do lote.;Primário
PFM (Personal Finance Management);Bancário/Fintech;Ferramentas de gestão financeira pessoal dentro do internet banking.;Terciário
pH da Carne;Pecuária;Indicador de estresse pré-abate que afeta a qualidade da carne (cor e maciez).;Primário
PHM (Population Health Management);Saúde;Uso de dados para gerenciar a saúde de um grupo e reduzir riscos/custos.;Terciário
PIB (Produto Interno Bruto);Macroeconomia;"Soma de todos os bens e serviços produzidos; principal indicador de crescimento.";Terciário (Serviços/Administração)
PIB Potencial;Macroeconomia;Nível máximo de produção que um país alcança sem gerar inflação.;Terciário (Serviços/Administração)
Picking;Logística;Processo de separação e coleta de produtos no armazém.;Terciário
Picking;Supply Chain;Processo de separação e coleta de itens no armazém para atender um pedido.;Terciário
Picking Error Rate;Logística;Frequência de erros na separação de itens (item errado ou quantidade errada).;Terciário
Picking per Hour;Logística;KPI de produtividade dos operadores de armazém.;Terciário
Pick-to-Light;Supply Chain;Sistema de luzes que indica ao operador qual item e quantidade coletar.;Terciário
Pipeline de Dados;Tecnologia;Fluxo automatizado que move dados entre diferentes sistemas e etapas.;Terciário
Pipeline de Lançamentos;Imobiliário;Cronograma de futuros empreendimentos em fase de aprovação.;Terciário
Pipeline de Vendas;Comercial;Representação das etapas que um cliente percorre até a compra.;Terciário
Pipeline de Vendas (Produtos Financeiros);Mercado Financeiro;Visão das etapas de contratação de produtos complexos (ex: Financiamento Imobiliário).;Terciário
Pipeline Velocity;Comercial e Vendas;Velocidade com que as oportunidades se movem pelo funil de vendas.;Terciário
Pipeline Velocity;Vendas;Velocidade com que as oportunidades movem-se através do funil de vendas.;Terciário
Pipeline Velocity;Comercial;Velocidade com que as oportunidades atravessam o funil de vendas.;Terciário
Pivot;Startups;Mudança estratégica no modelo de negócio ou direção do produto.;Terciário (Majoritariamente)
Plano de Contingência de Leitos;Saúde;Estratégia baseada em dados para expansão de leitos em casos de surtos.;Terciário
Plano Empresário;Imobiliário;Linha de crédito bancário para financiar a construção do prédio.;Terciário
Plano Nacional de Segurança (Metas);Segurança Pública;Acompanhamento de KPIs definidos em diretrizes federais.;Terciário
Planograma;Varejo;Representação visual de como os produtos devem ser dispostos nas prateleiras.;Terciário
Platform as a Service (PaaS);Tecnologia;Ambiente na nuvem para desenvolvimento e execução de aplicações.;Terciário
Platform Leakage;Startups;Quando usuários transacionam fora da plataforma para evitar taxas (risco de BI).;Terciário (Majoritariamente)
Pnad Contínua;Macroeconomia;Pesquisa mensal do IBGE que fornece dados sobre força de trabalho.;Terciário (Serviços/Administração)
Pobabilidade de Sucesso Geológico (Pg);Petróleo;Métrica de risco em prospectos exploratórios antes da perfuração.;Primário (Extração) / Secundário (Refino)
POC (Percentage of Completion);Imobiliário;Método contábil que reconhece receita conforme a evolução física da obra.;Terciário
POD (Proof of Delivery);Logística;Comprovante de entrega (canhoto da nota ou assinatura digital).;Terciário
Poder de Paridade de Compra (PPC);Macroeconomia;Teoria que ajusta as taxas de câmbio para equalizar o preço de uma cesta de bens.;Terciário (Serviços/Administração)
Point of Sale (POS);Comercial;Ponto de venda físico onde a transação ocorre.;Terciário
Policiamento Comunitário;Segurança Pública;Métricas de engajamento entre polícia e conselhos comunitários.;Terciário
Policiamento Orientado pelo Problema (POP);Segurança Pública;Estratégia que foca na causa raiz das ocorrências recorrentes.;Terciário
Política Cambial;Macroeconomia;Conjunto de ações do governo que influenciam a taxa de câmbio.;Terciário (Serviços/Administração)
Política Fiscal;Macroeconomia;Decisões sobre arrecadação de impostos e gastos governamentais.;Terciário (Serviços/Administração)
Política Monetária;Macroeconomia;Controle da oferta de moeda e das taxas de juros.;Terciário (Serviços/Administração)
Políticas Anticíclicas;Macroeconomia;Medidas do governo para combater recessões (ex: redução de impostos).;Terciário (Serviços/Administração)
Ponto de Abate Ótimo;Pecuária;Análise de BI que cruza GMD decrescente com custo de dieta crescente.;Primário
Ponto de Equilíbrio (Break-even Price);Petróleo;Preço do barril (Brent/WTI) necessário para cobrir os custos de um projeto.;Primário (Extração) / Secundário (Refino)
Ponto de Equilíbrio (Break-even);Indústria de Papel;Volume mínimo de vendas necessário para cobrir todos os custos.;Secundário
Ponto de Equilíbrio (Break-even);Pecuária;Preço mínimo da @ para cobrir todos os custos operacionais.;Primário
Ponto de Equilíbrio (Sacas/ha);Agricultura;Conversão do custo financeiro em volume de produção.;Primário
